rank,codepoint_hex,char_display,count,fraction_of_total,unicode_major_category,unicode_bucket,unicode_name
807,U+0581,ց,68,9.01836293e-08,Ll,letter,ARMENIAN SMALL LETTER CO
808,U+05DA,ך,68,9.01836293e-08,Lo,letter,HEBREW LETTER FINAL KAF
809,U+0936,श,68,9.01836293e-08,Lo,letter,DEVANAGARI LETTER SHA
810,U+0E22,ย,68,9.01836293e-08,Lo,letter,THAI CHARACTER YO YAK
811,U+57CE,城,68,9.01836293e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-57CE
812,U+5BB6,家,68,9.01836293e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5BB6
813,U+0169,ũ,67,8.88573995e-08,Ll,letter,LATIN SMALL LETTER U WITH TILDE
814,U+27A1,➡,67,8.88573995e-08,So,punct_or_symbol,BLACK RIGHTWARDS ARROW
815,U+5357,南,67,8.88573995e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5357
816,U+B3D9,동,67,8.88573995e-08,Lo,letter,HANGUL SYLLABLE DONG
817,U+C758,의,67,8.88573995e-08,Lo,letter,HANGUL SYLLABLE YI
818,U+012F,į,66,8.75311696e-08,Ll,letter,LATIN SMALL LETTER I WITH OGONEK
819,U+0137,ķ,66,8.75311696e-08,Ll,letter,LATIN SMALL LETTER K WITH CEDILLA
820,U+09AE,ম,66,8.75311696e-08,Lo,letter,BENGALI LETTER MA
821,U+0E21,ม,66,8.75311696e-08,Lo,letter,THAI CHARACTER MO MA
822,U+17B6,ា,66,8.75311696e-08,Mc,other,KHMER VOWEL SIGN AA
823,U+30E2,モ,66,8.75311696e-08,Lo,letter,KATAKANA LETTER MO
824,U+4E3B,主,66,8.75311696e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-4E3B
825,U+5B66,学,66,8.75311696e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5B66
826,U+F0B7,,66,8.75311696e-08,Co,private_use,
827,U+057A,պ,65,8.62049398e-08,Ll,letter,ARMENIAN SMALL LETTER PEH
828,U+2191,↑,65,8.62049398e-08,Sm,punct_or_symbol,UPWARDS ARROW
829,U+2605,★,65,8.62049398e-08,So,punct_or_symbol,BLACK STAR
830,U+266F,♯,65,8.62049398e-08,Sm,punct_or_symbol,MUSIC SHARP SIGN
831,U+10904,𐤄,65,8.62049398e-08,Lo,letter,PHOENICIAN LETTER HE
832,U+1F495,💕,65,8.62049398e-08,So,punct_or_symbol,TWO HEARTS
833,U+0459,љ,64,8.48787099e-08,Ll,letter,CYRILLIC SMALL LETTER LJE
834,U+04E8,Ө,64,8.48787099e-08,Lu,letter,CYRILLIC CAPITAL LETTER BARRED O
835,U+09CD,্,64,8.48787099e-08,Mn,other,BENGALI SIGN VIRAMA
836,U+0BBF,ி,64,8.48787099e-08,Mc,other,TAMIL VOWEL SIGN I
837,U+0E34,ิ,64,8.48787099e-08,Mn,other,THAI CHARACTER SARA I
838,U+5B89,安,64,8.48787099e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5B89
839,U+B77C,라,64,8.48787099e-08,Lo,letter,HANGUL SYLLABLE RA
840,U+0302,̂,63,8.35524801e-08,Mn,other,COMBINING CIRCUMFLEX ACCENT
841,U+1ED1,ố,63,8.35524801e-08,Ll,letter,LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
842,U+1F18,Ἐ,63,8.35524801e-08,Lu,letter,GREEK CAPITAL LETTER EPSILON WITH PSILI
843,U+5E73,平,63,8.35524801e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5E73
844,U+7E23,縣,63,8.35524801e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-7E23
845,U+897F,西,63,8.35524801e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-897F
846,U+C120,선,63,8.35524801e-08,Lo,letter,HANGUL SYLLABLE SEON
847,U+FD3E,﴾,63,8.35524801e-08,Pe,punct_or_symbol,ORNATE LEFT PARENTHESIS
848,U+FD3F,﴿,63,8.35524801e-08,Ps,punct_or_symbol,ORNATE RIGHT PARENTHESIS
849,U+00A5,¥,62,8.22262503e-08,Sc,punct_or_symbol,YEN SIGN
850,U+00CA,Ê,62,8.22262503e-08,Lu,letter,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
851,U+0165,ť,62,8.22262503e-08,Ll,letter,LATIN SMALL LETTER T WITH CARON
852,U+0300,̀,62,8.22262503e-08,Mn,other,COMBINING GRAVE ACCENT
853,U+0305,̅,62,8.22262503e-08,Mn,other,COMBINING OVERLINE
854,U+09BF,ি,62,8.22262503e-08,Mc,other,BENGALI VOWEL SIGN I
855,U+0BBE,ா,62,8.22262503e-08,Mc,other,TAMIL VOWEL SIGN AA
856,U+0E01,ก,62,8.22262503e-08,Lo,letter,THAI CHARACTER KO KAI
857,U+4E4B,之,62,8.22262503e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-4E4B
858,U+53F2,史,62,8.22262503e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-53F2
859,U+5DDE,州,62,8.22262503e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5DDE
860,U+6587,文,62,8.22262503e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-6587
861,U+C131,성,62,8.22262503e-08,Lo,letter,HANGUL SYLLABLE SEONG
862,U+C870,조,62,8.22262503e-08,Lo,letter,HANGUL SYLLABLE JO
863,U+1F339,🌹,62,8.22262503e-08,So,punct_or_symbol,ROSE
864,U+00F7,÷,61,8.09000204e-08,Sm,punct_or_symbol,DIVISION SIGN
865,U+0E31,ั,61,8.09000204e-08,Mn,other,THAI CHARACTER MAI HAN-AKAT
866,U+1EA7,ầ,61,8.09000204e-08,Ll,letter,LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
867,U+2261,≡,61,8.09000204e-08,Sm,punct_or_symbol,IDENTICAL TO
868,U+767D,白,61,8.09000204e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-767D
869,U+10915,𐤕,61,8.09000204e-08,Lo,letter,PHOENICIAN LETTER TAU
870,U+0396,Ζ,60,7.95737906e-08,Lu,letter,GREEK CAPITAL LETTER ZETA
871,U+09AC,ব,60,7.95737906e-08,Lo,letter,BENGALI LETTER BA
872,U+0BB0,ர,60,7.95737906e-08,Lo,letter,TAMIL LETTER RA
873,U+10F2,ჲ,60,7.95737906e-08,Ll,letter,GEORGIAN LETTER HIE
874,U+1295,ን,60,7.95737906e-08,Lo,letter,ETHIOPIC SYLLABLE NE
875,U+1E35,ḵ,60,7.95737906e-08,Ll,letter,LATIN SMALL LETTER K WITH LINE BELOW
876,U+1EAF,ắ,60,7.95737906e-08,Ll,letter,LATIN SMALL LETTER A WITH BREVE AND ACUTE
877,U+2023,‣,60,7.95737906e-08,Po,punct_or_symbol,TRIANGULAR BULLET
878,U+5C45,居,60,7.95737906e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-5C45
879,U+9F8D,龍,60,7.95737906e-08,Lo,letter,CJK UNIFIED IDEOGRAPH-9F8D
880,U+0B95,க,59,7.82475607e-08,Lo,letter,TAMIL LETTER KA
881,U+0E17,ท,59,7.82475607e-08,Lo,letter,THAI CHARACTER THO THAHAN
882,U+0E27,ว,59,7.82475607e-08,Lo,letter,THAI CHARACTER WO WAEN
883,U+140A,ᐊ,59,7.82475607e-08,Lo,letter,CANADIAN SYLLABICS A
