init_seed,fold,condition,train_script,vocab_size,las_mean,uas_mean,n_test_tokens
45,3,transfer_tr_kk_tt,normalized,16000,0.20162932790224034,0.26883910386965376,491
45,4,transfer_tr_kk_tt,normalized,16000,0.2318840579710145,0.34368530020703936,483
46,0,transfer_tr_kk_tt,normalized,16000,0.2459016393442623,0.3793911007025761,427
46,1,transfer_tr_kk_tt,normalized,16000,0.21063829787234042,0.33191489361702126,470
46,2,transfer_tr_kk_tt,normalized,16000,0.26405867970660146,0.35207823960880197,409
46,3,transfer_tr_kk_tt,normalized,16000,0.2158859470468432,0.2973523421588595,491
46,4,transfer_tr_kk_tt,normalized,16000,0.2525879917184265,0.35196687370600416,483
42,0,byte_fallback_bpe,normalized,16000,0.2903981264637002,0.3770491803278688,427
42,1,byte_fallback_bpe,normalized,16000,0.2574468085106383,0.3446808510638298,470
42,2,byte_fallback_bpe,normalized,16000,0.2591687041564792,0.36674816625916873,409
42,3,byte_fallback_bpe,normalized,16000,0.12423625254582485,0.20977596741344195,491
42,4,byte_fallback_bpe,normalized,16000,0.23809523809523808,0.3581780538302277,483
43,0,byte_fallback_bpe,normalized,16000,0.2786885245901639,0.3981264637002342,427
43,1,byte_fallback_bpe,normalized,16000,0.2574468085106383,0.32553191489361705,470
43,2,byte_fallback_bpe,normalized,16000,0.25183374083129584,0.36185819070904646,409
43,3,byte_fallback_bpe,normalized,16000,0.15071283095723015,0.23625254582484725,491
43,4,byte_fallback_bpe,normalized,16000,0.13664596273291926,0.2401656314699793,483
44,0,byte_fallback_bpe,normalized,16000,0.2716627634660422,0.36768149882903983,427
44,1,byte_fallback_bpe,normalized,16000,0.2680851063829787,0.3659574468085106,470
44,2,byte_fallback_bpe,normalized,16000,0.29095354523227385,0.4034229828850856,409
44,3,byte_fallback_bpe,normalized,16000,0.23421588594704684,0.329938900203666,491
44,4,byte_fallback_bpe,normalized,16000,0.2443064182194617,0.34782608695652173,483
45,0,byte_fallback_bpe,normalized,16000,0.2716627634660422,0.38875878220140514,427
45,1,byte_fallback_bpe,normalized,16000,0.274468085106383,0.37659574468085105,470
45,2,byte_fallback_bpe,normalized,16000,0.2616136919315403,0.3471882640586797,409
45,3,byte_fallback_bpe,normalized,16000,0.23625254582484725,0.31160896130346233,491
45,4,byte_fallback_bpe,normalized,16000,0.2546583850931677,0.3747412008281574,483
46,0,byte_fallback_bpe,normalized,16000,0.24824355971896955,0.34660421545667447,427
46,1,byte_fallback_bpe,normalized,16000,0.22340425531914893,0.3553191489361702,470
46,2,byte_fallback_bpe,normalized,16000,0.28361858190709044,0.36674816625916873,409
46,3,byte_fallback_bpe,normalized,16000,0.22810590631364563,0.3034623217922607,491
46,4,byte_fallback_bpe,normalized,16000,0.2670807453416149,0.3747412008281574,483
